FIPS,STATE_FIPS,CD,Geographic Name,Geographic Subtype,Total Vote,RANKD,RANKR,RANKI,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
fips,state_fips,cd,name,type,totalvote,rankD,rankR,rankI,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1901,1,01,District 1,Congressional District,328066,2,1,0,70451,257310,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0
1902,1,02,District 2,Congressional District,288156,1,2,0,157092,130847,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
1903,1,03,District 3,Congressional District,247792,0,1,0,0,242652,0,0,0,0,0,0,0,5140,0,0,0,0,0,0,0,0,0,0,0,0
1904,1,04,District 4,Congressional District,277285,0,1,0,0,273915,0,0,0,0,0,0,0,3370,0,0,0,0,0,0,0,0,0,0,0,0
1905,1,05,District 5,Congressional District,261415,0,1,0,0,249365,0,0,0,0,0,0,0,12050,0,0,0,0,0,0,0,0,0,0,0,0
1906,1,06,District 6,Congressional District,344927,2,1,0,101838,242709,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0
1907,1,07,District 7,Congressional District,292759,1,2,0,186407,106168,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,249271,2,1,0,114511,124969,0,0,0,9791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4901,4,01,District 1,Congressional District,357742,2,1,0,171218,186524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4902,4,02,District 2,Congressional District,341700,2,1,0,156367,185333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4903,4,03,District 3,Congressional District,147671,1,2,0,103745,40457,0,0,3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4904,4,04,District 4,Congressional District,263467,1,2,0,138172,121068,0,0,4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4905,4,05,District 5,Congressional District,344538,2,1,0,135649,208889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4906,4,06,District 6,Congressional District,333354,2,1,0,162374,163317,0,0,7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4907,4,07,District 7,Congressional District,195367,1,2,0,123558,71809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4908,4,08,District 8,Congressional District,301502,2,1,0,130922,170580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4909,4,09,District 9,Congressional District,309299,2,1,0,104212,205087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5901,5,01,District 1,Congressional District,266685,2,1,0,63917,194432,0,8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5902,5,02,District 2,Congressional District,305624,2,1,0,125395,180229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5903,5,03,District 3,Congressional District,300489,2,1,0,95396,191788,0,13305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5904,5,04,District 4,Congressional District,269673,2,1,0,73004,196669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6901,6,01,District 1,Congressional District,211994,2,1,0,77094,134900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6902,6,02,District 2,Congressional District,239802,1,2,0,172314,67488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6903,6,03,District 3,Congressional District,300295,2,1,0,130087,170208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6904,6,04,District 4,Congressional District,221583,1,2,0,144198,77385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6905,6,05,District 5,Congressional District,300376,2,1,0,112278,188098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6906,6,06,District 6,Congressional District,179975,1,2,0,103067,76908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6907,6,07,District 7,Congressional District,181539,1,2,0,118725,62814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6908,6,08,District 8,Congressional District,238251,1,2,0,175455,62796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6909,6,09,District 9,Congressional District,167032,1,2,0,85528,81504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6910,6,10,District 10,Congressional District,306136,1,2,0,203881,102255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6911,6,11,District 11,Congressional District,216569,1,2,0,175165,41404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6912,6,12,District 12,Congressional District,130426,1,0,0,82906,0,0,0,0,0,47520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6913,6,13,District 13,Congressional District,130089,2,1,0,63414,66675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6914,6,14,District 14,Congressional District,144499,1,2,0,94789,49710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6915,6,15,District 15,Congressional District,198328,1,2,0,143170,55158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6916,6,16,District 16,Congressional District,216557,1,0,0,128820,0,0,0,0,0,87737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6917,6,17,District 17,Congressional District,168669,1,2,0,112323,56346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6918,6,18,District 18,Congressional District,148783,1,2,0,94729,54054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6919,6,19,District 19,Congressional District,266247,1,2,0,186066,80181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6920,6,20,District 20,Congressional District,208535,0,1,0,0,136283,0,0,0,0,0,72252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6921,6,21,District 21,Congressional District,130631,1,2,0,65967,64664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6922,6,22,District 22,Congressional District,115419,2,1,0,52519,62900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6923,6,23,District 23,Congressional District,172266,2,1,0,68223,104043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6924,6,24,District 24,Congressional District,241379,1,2,0,151271,90108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6925,6,25,District 25,Congressional District,164506,1,2,0,92934,71572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6926,6,26,District 26,Congressional District,241429,1,2,0,131653,109776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6927,6,27,District 27,Congressional District,253149,2,1,0,126088,127061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6928,6,28,District 28,Congressional District,253004,1,2,0,163483,89521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929,6,29,District 29,Congressional District,172193,1,2,0,118506,53687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6930,6,30,District 30,Congressional District,263460,1,2,0,178429,85031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6931,6,31,District 31,Congressional District,206999,1,2,0,120631,86368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6932,6,32,District 32,Congressional District,269131,1,2,0,175974,93157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6933,6,33,District 33,Congressional District,135356,1,2,0,77213,58143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6934,6,34,District 34,Congressional District,150094,1,0,0,84472,0,0,0,0,0,65622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6935,6,35,District 35,Congressional District,145552,1,2,0,82423,63129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6936,6,36,District 36,Congressional District,299414,1,2,0,202753,96661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6937,6,37,District 37,Congressional District,164024,1,0,2,128704,0,35320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6938,6,38,District 38,Congressional District,222037,1,2,0,128919,93118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6939,6,39,District 39,Congressional District,161028,1,2,0,89868,71160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6940,6,40,District 40,Congressional District,314089,2,1,0,137472,176617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6941,6,41,District 41,Congressional District,260572,2,1,0,126596,133976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6942,6,42,District 42,Congressional District,180808,1,2,0,120002,60806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6943,6,43,District 43,Congressional District,171961,1,2,0,127904,44057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6944,6,44,District 44,Congressional District,181833,1,2,0,126979,54854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6945,6,45,District 45,Congressional District,258356,2,1,0,125383,132973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6946,6,46,District 46,Congressional District,163236,1,2,0,100589,62647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6947,6,47,District 47,Congressional District,286414,1,2,0,143746,142668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6948,6,48,District 48,Congressional District,281022,2,1,0,112690,168332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6949,6,49,District 49,Congressional District,305040,1,2,0,157394,147646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6950,6,50,District 50,Congressional District,281448,1,2,0,178989,102459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6951,6,51,District 51,Congressional District,250948,1,2,0,150332,100616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6952,6,52,District 52,Congressional District,187957,1,2,0,122452,65505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8901,8,01,District 1,Congressional District,316815,1,2,0,243969,67238,0,0,0,0,0,0,3553,0,0,0,0,0,2055,0,0,0,0,0,0,0
8902,8,02,District 2,Congressional District,406362,1,2,0,277984,117619,0,4967,0,0,0,0,3530,0,0,0,0,0,2262,0,0,0,0,0,0,0
8903,8,03,District 3,Congressional District,381304,2,1,0,177375,191469,0,9890,0,0,0,0,2570,0,0,0,0,0,0,0,0,0,0,0,0,0
8904,8,04,District 4,Congressional District,436400,2,1,0,184154,233642,0,11234,0,0,0,0,1367,0,0,0,0,0,6003,0,0,0,0,0,0,0
8905,8,05,District 5,Congressional District,329463,2,1,4,135484,180694,3395,5201,0,3298,0,0,0,0,0,0,0,0,0,1391,0,0,0,0,0,0
8906,8,06,District 6,Congressional District,325657,1,2,0,191955,125793,0,4313,0,0,0,0,0,0,0,0,0,0,3596,0,0,0,0,0,0,0
8907,8,07,District 7,Congressional District,423242,1,2,0,234292,174136,0,9598,0,0,0,0,5216,0,0,0,0,0,0,0,0,0,0,0,0,0
8908,8,08,District 8,Congressional District,311026,2,1,0,149953,152482,0,0,0,0,0,0,3343,0,0,0,0,0,5248,0,0,0,0,0,0,0
9901,9,01,District 1,Congressional District,319040,1,2,0,202835,109656,0,0,6549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,9,02,District 2,Congressional District,376040,1,2,0,218162,157878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,9,03,District 3,Congressional District,334819,1,2,0,196954,137865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9904,9,04,District 4,Congressional District,328913,1,2,3,200601,123033,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,9,05,District 5,Congressional District,330149,1,2,0,176547,153602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10901,10,01,At Large,Congressional District,497350,1,2,0,287783,209567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12901,12,01,District 1,Congressional District,414478,2,1,0,140716,273762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12902,12,02,District 2,Congressional District,401695,2,1,0,154010,247685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12903,12,03,District 3,Congressional District,391111,2,1,0,150104,241007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12904,12,04,District 4,Congressional District,387619,2,1,0,165541,222078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12905,12,05,District 5,Congressional District,423157,2,1,0,156172,266985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12906,12,06,District 6,Congressional District,427029,2,1,0,142850,284179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12907,12,07,District 7,Congressional District,413114,2,1,0,179476,233638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12908,12,08,District 8,Congressional District,449905,2,1,0,169830,280075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12909,12,09,District 9,Congressional District,323463,1,2,3,178320,137757,7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12910,12,10,District 10,Congressional District,290527,1,2,0,181175,109352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12911,12,11,District 11,Congressional District,445630,2,1,0,176508,269122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12912,12,12,District 12,Congressional District,430890,2,1,0,124730,306160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12913,12,13,District 13,Congressional District,411245,2,1,0,185756,225489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12914,12,14,District 14,Congressional District,349519,1,2,3,199030,145389,2589,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12915,12,15,District 15,Congressional District,347032,2,1,0,152015,195017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12916,12,16,District 16,Congressional District,414919,2,1,0,167930,246989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12917,12,17,District 17,Congressional District,454961,2,1,0,164257,290704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12918,12,18,District 18,Congressional District,344373,2,1,0,119438,224935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12919,12,19,District 19,Congressional District,415433,2,1,0,139879,275554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12920,12,20,District 20,Congressional District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12921,12,21,District 21,Congressional District,448359,2,1,0,171112,277247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12922,12,22,District 22,Congressional District,366486,1,2,0,201379,165107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12923,12,23,District 23,Congressional District,373745,1,2,0,195910,177835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12924,12,24,District 24,Congressional District,285263,1,2,0,194651,90612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12925,12,25,District 25,Congressional District,342444,1,2,0,186487,155957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12926,12,26,District 26,Congressional District,306001,2,1,0,88926,217075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12927,12,27,District 27,Congressional District,329573,2,1,0,130532,199041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12928,12,28,District 28,Congressional District,324958,2,1,0,115087,209871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13901,13,01,District 1,Congressional District,355634,2,1,0,135162,220472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13902,13,02,District 2,Congressional District,312172,1,2,0,175773,136399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13903,13,03,District 3,Congressional District,411578,2,1,0,138651,272927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13904,13,04,District 4,Congressional District,302951,1,2,0,228980,73971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13905,13,05,District 5,Congressional District,343082,1,2,0,293958,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13906,13,06,District 6,Congressional District,370463,1,2,0,276665,93798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13907,13,07,District 7,Congressional District,425056,2,1,0,149338,275718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13908,13,08,District 8,Congressional District,335670,2,1,0,104265,231405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13909,13,09,District 9,Congressional District,392478,2,1,0,121583,270895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13910,13,10,District 10,Congressional District,406219,2,1,0,149938,256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13911,13,11,District 11,Congressional District,400223,2,1,0,130691,269532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13912,13,12,District 12,Congressional District,340938,2,1,0,135232,205706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13913,13,13,District 13,Congressional District,357413,1,2,0,256754,100659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13914,13,14,District 14,Congressional District,377708,2,1,0,134489,243219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15901,15,01,District 1,Congressional District,228147,1,2,0,163921,64226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15902,15,02,District 2,Congressional District,249546,1,2,4,165881,75282,3908,4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16901,16,01,District 1,Congressional District,466339,2,1,0,118656,331049,0,9594,0,6933,0,0,0,105,0,0,0,0,0,2,0,0,0,0,0,0
16902,16,02,District 2,Congressional District,407460,2,1,0,126229,250117,0,21310,0,9804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17901,17,01,District 1,Congressional District,165147,2,1,0,70730,94417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17902,17,02,District 2,Congressional District,209756,1,2,0,144399,65271,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
17903,17,03,District 3,Congressional District,114334,1,2,0,60093,54241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17904,17,04,District 4,Congressional District,121962,1,2,0,76186,39772,0,0,0,0,0,0,0,0,0,0,0,6004,0,0,0,0,0,0,0,0
17905,17,05,District 5,Congressional District,130410,1,2,0,70388,60022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17906,17,06,District 6,Congressional District,318123,1,2,0,171300,146823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17907,17,07,District 7,Congressional District,70918,1,2,0,58807,12111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17908,17,08,District 8,Congressional District,292200,1,2,0,165077,127123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17909,17,09,District 9,Congressional District,222458,1,2,0,135939,86519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
